Image,Seal_Count
JHI_FullSurvey_75m_Flight_01_00361.JPG,2
JHI_FullSurvey_75m_Flight_01_00520.JPG,12
JHI_FullSurvey_75m_Flight_01_00402.JPG,10
JHI_FullSurvey_75m_Flight_01_00067.JPG,2
JHI_FullSurvey_75m_Flight_01_00337.JPG,5
JHI_FullSurvey_75m_Flight_01_00310.JPG,9
JHI_FullSurvey_75m_Flight_01_00068.JPG,2
JHI_FullSurvey_75m_Flight_01_00731.JPG,17
JHI_FullSurvey_75m_Flight_01_00151.JPG,5
JHI_FullSurvey_75m_Flight_01_00641.JPG,34
JHI_FullSurvey_75m_Flight_01_00324.JPG,4
JHI_FullSurvey_75m_Flight_01_00323.JPG,5
JHI_FullSurvey_75m_Flight_01_00507.JPG,14
JHI_FullSurvey_75m_Flight_01_00371.JPG,18
JHI_FullSurvey_75m_Flight_01_00736.JPG,11
JHI_FullSurvey_75m_Flight_01_00636.JPG,36
JHI_FullSurvey_75m_Flight_01_00321.JPG,15
JHI_FullSurvey_75m_Flight_01_00257.JPG,12
JHI_FullSurvey_75m_Flight_01_00063.JPG,4
JHI_FullSurvey_75m_Flight_01_00320.JPG,15
